id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
knightswap,KnightSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/knightswap.svg,A,trades,true,2021-10-29T00:00:00Z,2021-10-29T00:00:00Z,2022-02-28T00:00:00Z,52,22,2022-04-15T14:37:21Z,,58,0.3142,false,true,2921082.34,-1516540.56,-0.3417,3131,452,0.1687,2921082.34,-1516540.56,-0.3417,,,,,https://app.knightswap.financial
scalpex,Scalpex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/scalpex.png,A+,trades,true,2020-09-24T00:00:00Z,2020-09-24T00:00:00Z,2021-08-11T00:00:00Z,12,0,2022-04-15T14:36:43.282Z,USD,59,0.1393,true,false,2597644.14,-1107436.40,-0.2989,11950,-2868,-0.1935,742355.18,-477139.16,-0.3913,1855288.96,-630297.24,-0.2536,British Virgin Islands,https://www.scalpex.com
mercado_bitcoin,Mercado Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/mercado_bitcoin.png,A,trades,true,2013-06-12T00:00:00Z,2013-06-12T00:00:00Z,2020-01-07T00:00:00Z,39,16,2022-04-15T14:40:42Z,BRL,60,0.4339,true,false,2284983.71,-661441.14,-0.2245,10967,-2549,-0.1886,2284983.71,-661441.14,-0.2245,,,,Brazil,https://www.mercadobitcoin.com.br/
sushiswap_harmony,SushiSwap (Harmony),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-04-03T00:00:00Z,2021-04-03T00:00:00Z,2021-10-27T00:00:00Z,205,767,2022-04-15T14:40:29Z,,61,0.5124,false,true,2260206.00,318042.40,0.1638,17673,3298,0.2294,2260206.00,318042.40,0.1638,,,,,https://sushi.com
mdex_bsc,Mdex (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/mdex_bsc.png,A,trades,true,2021-04-08T00:00:00Z,2021-04-08T00:00:00Z,2021-11-15T00:00:00Z,668,1011,2022-04-15T14:38:06Z,,62,0.4647,false,true,2141666.11,-1367876.10,-0.3898,3951,-277,-0.0655,2141666.11,-1367876.10,-0.3898,,,,,https://mdex.com
sushiswap_avalanche,SushiSwap (Avalanche),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-03-15T00:00:00Z,2021-03-15T00:00:00Z,2021-10-27T00:00:00Z,100,158,2022-04-15T14:38:12Z,,63,0.5083,false,true,2008553.90,-1908486.01,-0.4872,2012,-334,-0.1424,2008553.90,-1908486.01,-0.4872,,,,,https://sushi.com
jswap,Jswap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/jswap.jpg,A,trades,true,2021-07-28T00:00:00Z,2021-07-28T00:00:00Z,2022-03-10T00:00:00Z,157,1952,2022-04-15T14:40:12Z,,64,0.2410,false,true,1998407.83,-3803.86,-0.0019,25505,-5131,-0.1675,1998407.83,-3803.86,-0.0019,,,,,https://app.jswap.finance/
tranquil_finance,Tranquil Finance (Defira),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/tranquil_finance.jpg,A,trades,true,2022-02-18T00:00:00Z,2022-02-18T00:00:00Z,2022-03-17T00:00:00Z,29,127,2022-04-15T14:41:13Z,,65,0.1757,false,true,1974651.42,392183.00,0.2478,8515,299,0.0364,1974651.42,392183.00,0.2478,,,,,https://www.tranquil.finance
mojitoswap,MojitoSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/mojitoswap.jpg,A,trades,true,2021-09-30T00:00:00Z,2021-09-30T00:00:00Z,2022-03-14T00:00:00Z,17,87,2022-04-15T14:39:46Z,,66,0.1929,false,true,1659356.69,117574.16,0.0763,9317,-2797,-0.2309,1659356.69,117574.16,0.0763,,,,,https://www.mojitoswap.finance
pancakeswap,PancakeSwap V1,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/pancakeswap.jpg,A,trades,true,2020-09-18T00:00:00Z,2020-09-18T00:00:00Z,2021-10-27T00:00:00Z,5691,127669,2022-04-15T14:38:42Z,,67,0.5703,false,true,1346830.07,-356525.32,-0.2093,9008,-1186,-0.1163,1346830.07,-356525.32,-0.2093,,,,Japan,https://pancakeswap.finance
